filename,label,percent through interval,F2
m03_mono_M03_ahpa-2_2,a-p,100,1375.99360390187
m03_mono_M03_ahpwa-1_1,a-pw,0,922.542374056834
m03_mono_M03_ahpwa-1_1,a-pw,50,1038.9474647767
m03_mono_M03_ahpwa-1_1,a-pw,100,1091.21217894723
m03_mono_M03_apa-1_1,a-p,0,1261.08643192344
m03_mono_M03_apa-1_1,a-p,50,1393.16552714444
m03_mono_M03_apa-1_1,a-p,100,1436.90182959511
m03_mono_M03_apa-2_1,a-p,0,1328.81470769267
m03_mono_M03_apa-2_1,a-p,50,1438.2845157523
m03_mono_M03_apa-2_1,a-p,100,1475.48524118673
m03_mono_M03_apa-3_1,a-p,0,1377.22748240242
m03_mono_M03_apa-3_1,a-p,50,1496.81575837655
m03_mono_M03_apa-3_1,a-p,100,1682.87658002846
m03_mono_M03_apwal-1_1,a-pw,0,943.842815265491
m03_mono_M03_apwal-1_1,a-pw,50,1280.2321722078
m03_mono_M03_apwal-1_1,a-pw,100,1660.42510461558
m03_mono_M03_apwal-1_2,a-pw,0,947.046538417109
m03_mono_M03_apwal-1_2,a-pw,50,1328.36372153689
m03_mono_M03_apwal-1_2,a-pw,100,1540.89843607228
m03_mono_M03_apwal-2_1,a-pw,0,921.544949203783
m03_mono_M03_apwal-2_1,a-pw,50,1320.54737087181
m03_mono_M03_apwal-2_1,a-pw,100,1682.56536254882
m03_mono_M03_apwal-3_1,a-pw,0,918.96104855124
m03_mono_M03_apwal-3_1,a-pw,50,1370.65477160026
m03_mono_M03_apwal-3_1,a-pw,100,1673.65507287245
m03_mono_M03_apwal-3_2,a-pw,0,986.40043674682
m03_mono_M03_apwal-3_2,a-pw,50,1333.49264908534
m03_mono_M03_apwal-3_2,a-pw,100,1584.14071663972
m03_mono_M03_ata-1_1,a-t,0,1719.50671353468
m03_mono_M03_ata-1_1,a-t,50,1624.99668166596
m03_mono_M03_ata-1_1,a-t,100,1504.93664717407
m03_mono_M03_ata-2_1,a-t,0,1736.39621844669
m03_mono_M03_ata-2_1,a-t,50,1540.20404826558
m03_mono_M03_ata-2_1,a-t,100,1445.83961888663
m03_mono_M03_ata-3_1,a-t,0,1831.32031069156
m03_mono_M03_ata-3_1,a-t,50,1749.63762315995
m03_mono_M03_ata-3_1,a-t,100,1736.90390548044
m03_mono_M03_idi-1_1,i-d,0,1916.84950434973
m03_mono_M03_idi-1_1,i-d,50,2100.2006710146
m03_mono_M03_idi-1_1,i-d,100,2169.72903032044
m03_mono_M03_idi-3_1,i-d,0,2010.00973250988
m03_mono_M03_idi-3_1,i-d,50,2108.97095598854
m03_mono_M03_idi-3_1,i-d,100,2140.58837262671
m03_mono_M03_ihpi-1_1,i-p,0,1925.89607505763
m03_mono_M03_ihpi-1_1,i-p,50,2015.30385974519
m03_mono_M03_ihpi-1_1,i-p,100,2001.67058159013
m03_mono_M03_ihpwi-3_1,i-pw,0,1148.82016585381
m03_mono_M03_ihpwi-3_1,i-pw,50,1500.59479945348
m03_mono_M03_ihpwi-3_1,i-pw,100,1281.29268204361
m03_mono_M03_ihpwi-3_2,i-pw,0,1021.05561275484
m03_mono_M03_ihpwi-3_2,i-pw,50,1483.62281260236
m03_mono_M03_ihpwi-3_2,i-pw,100,1859.42239885186
m03_mono_M03_ipwidi-1_1,i-pw,0,1097.13556562915
m03_mono_M03_ipwidi-1_1,i-pw,50,1407.97103536788
m03_mono_M03_ipwidi-1_1,i-pw,100,1247.73471171576
m03_mono_M03_ipwidi-2_1,i-pw,0,1134.25969745687
m03_mono_M03_ipwidi-2_1,i-pw,50,1518.77838913971
m03_mono_M03_ipwidi-2_1,i-pw,100,1846.57414094344
m03_mono_M03_ipwidi-2_2,i-pw,0,1132.17306950942
m03_mono_M03_ipwidi-2_2,i-pw,50,1447.14041715047
m03_mono_M03_ipwidi-2_2,i-pw,100,1622.91666044562
m03_mono_M03_ipwidi-3_1,i-pw,0,1112.76252817802
m03_mono_M03_ipwidi-3_1,i-pw,50,1558.85307042079
m03_mono_M03_ipwidi-3_1,i-pw,100,1457.06574820684
m03_mono_M03_itik-1_1,i-t,0,1908.251012372
m03_mono_M03_itik-1_1,i-t,50,1925.35218573524
m03_mono_M03_itik-1_1,i-t,100,1933.06647459372
m03_mono_M03_itik-2_1,i-t,0,1898.24858716542
m03_mono_M03_itik-2_1,i-t,50,1863.80550853589
m03_mono_M03_itik-2_1,i-t,100,1612.66962317377
m03_mono_M03_itik-3_1,i-t,0,1965.16262099673
m03_mono_M03_itik-3_1,i-t,50,1878.44994917057
m03_mono_M03_itik-3_1,i-t,100,1436.88096565539
m03_mono_M03_koahpi-1_1,i-p,0,1839.14112343842
m03_mono_M03_koahpi-1_1,i-p,50,1928.56226799003
m03_mono_M03_koahpi-1_1,i-p,100,1865.88405271033
m03_mono_M03_koahpi-2_1,i-p,0,1778.90721785727
m03_mono_M03_koahpi-2_1,i-p,50,1909.22743041921
m03_mono_M03_koahpi-2_1,i-p,100,1739.33659257115
m03_mono_M03_koahpi-3_1,i-p,0,1938.36108308083
m03_mono_M03_koahpi-3_1,i-p,50,2077.69743557275
m03_mono_M03_koahpi-3_1,i-p,100,2078.2348203321
m03_mono_M03_pahpa-1_1,a-p,0,1229.66230777776
m03_mono_M03_pahpa-1_1,a-p,50,1377.45527966756
m03_mono_M03_pahpa-1_1,a-p,100,1366.24563825105
m03_mono_M03_pahpa-2_1,a-p,0,1164.8090612861
m03_mono_M03_pahpa-2_1,a-p,50,1634.72899249359
m03_mono_M03_pahpa-2_1,a-p,100,1740.79211847033
m03_mono_M03_pahpa-3_1,a-p,0,1342.86031889552
m03_mono_M03_pahpa-3_1,a-p,50,1446.23328572542
m03_mono_M03_pahpa-3_1,a-p,100,1531.42232310007
f01_mono_F01_ahdan-1_1,a-d,0,1847.84859482197
f01_mono_F01_ahdan-1_1,a-d,50,1819.90816950735
f01_mono_F01_ahdan-1_1,a-d,100,1850.35705382964
f01_mono_F01_ahdan-2_1,a-d,0,1984.80287614092
f01_mono_F01_ahdan-2_1,a-d,50,1794.80759719132
f01_mono_F01_ahdan-2_1,a-d,100,1752.83182114601
f01_mono_F01_ahdan-3_1,a-d,0,1827.79522018576
f01_mono_F01_ahdan-3_1,a-d,50,1727.41794439335
f01_mono_F01_ahdan-3_1,a-d,100,865.295258463121
f01_mono_F01_ahpa-2_1,a-p,0,1722.47160952857
f01_mono_F01_ahpa-2_1,a-p,50,1717.71220962087
f01_mono_F01_ahpa-2_1,a-p,100,1776.44270797763
f01_mono_F01_ahpa-2_2,a-p,0,1718.19987728012
f01_mono_F01_ahpa-2_2,a-p,50,1678.37189878856
f01_mono_F01_ahpa-2_2,a-p,100,1762.78252360415
f01_mono_F01_ahpwa-1_1,a-pw,0,876.281252235632
f01_mono_F01_ahpwa-1_1,a-pw,50,1427.14239466183
f01_mono_F01_ahpwa-1_1,a-pw,100,1598.0894818217
f01_mono_F01_apa-1_1,a-p,0,1607.05562934943
f01_mono_F01_apa-1_1,a-p,50,1632.48709241831
f01_mono_F01_apa-1_1,a-p,100,1689.38426662423
f01_mono_F01_apa-2_1,a-p,0,1714.81904183357
f01_mono_F01_apa-2_1,a-p,50,1620.57435674797
f01_mono_F01_apa-2_1,a-p,100,1587.5933396568
f01_mono_F01_apa-3_1,a-p,0,1763.50037985854
f01_mono_F01_apa-3_1,a-p,50,1692.00456664425
f01_mono_F01_apa-3_1,a-p,100,1593.36577391965
f01_mono_F01_apwal-1_1,a-pw,0,788.77164711955
f01_mono_F01_apwal-1_1,a-pw,50,1633.40283592601
f01_mono_F01_apwal-1_1,a-pw,100,1765.80247331386
f01_mono_F01_apwal-1_2,a-pw,0,1195.52976824111
f01_mono_F01_apwal-1_2,a-pw,50,1527.06212806817
f01_mono_F01_apwal-1_2,a-pw,100,1848.53812096515
f01_mono_F01_apwal-2_1,a-pw,0,823.784415335704
f01_mono_F01_apwal-2_1,a-pw,50,1407.68436129408
f01_mono_F01_apwal-2_1,a-pw,100,1859.80845638077
f01_mono_F01_apwal-3_1,a-pw,0,809.563713790016
f01_mono_F01_apwal-3_1,a-pw,50,1455.9824554806
f01_mono_F01_apwal-3_1,a-pw,100,1820.33402269324
f01_mono_F01_apwal-3_2,a-pw,0,807.45776054229
f01_mono_F01_apwal-3_2,a-pw,50,1568.65323849085
f01_mono_F01_apwal-3_2,a-pw,100,1879.97662582389
f01_mono_F01_ata-1_1,a-t,0,1971.70404607477
f01_mono_F01_ata-1_1,a-t,50,1684.85746274912
f01_mono_F01_ata-1_1,a-t,100,1719.34249594349
f01_mono_F01_ata-2_1,a-t,0,1849.55964337623
f01_mono_F01_ata-2_1,a-t,50,1720.43515414424
f01_mono_F01_ata-2_1,a-t,100,1657.45817240222
f01_mono_F01_ata-3_1,a-t,0,1859.49680543936
f01_mono_F01_ata-3_1,a-t,50,1701.60275342732
f01_mono_F01_ata-3_1,a-t,100,1710.60436252794
f01_mono_F01_idi-1_1,i-d,0,2454.20932778725
f01_mono_F01_idi-1_1,i-d,50,2698.99312607824
f01_mono_F01_idi-1_1,i-d,100,2792.15112921741
